epoch,loss,val_loss,lr,train.batch_size,train.epoch_size,train.crop_shape,val.batch_size,val.epoch_size,val.crop_shape,seconds
0,0.6171619296073914,0.5732908844947815,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",368.4517161846161
1,0.5186352729797363,0.43759623169898987,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.51879334449768
2,0.37107163667678833,0.3259105682373047,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.49230575561523
3,0.3100784718990326,0.30875837802886963,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.20679092407227
4,0.3026919960975647,0.3056575655937195,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.1877477169037
5,0.3012169897556305,0.30453187227249146,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.18630123138428
6,0.3002168536186218,0.3039363622665405,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.48042273521423
7,0.2989382743835449,0.3035367727279663,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.35750031471252
8,0.2927857041358948,0.3032505512237549,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.75955247879028
9,0.2998259663581848,0.3030540645122528,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.5116903781891
10,0.29785051941871643,0.3029159903526306,9.999999747378752e-06,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.07496809959412
11,0.30009451508522034,0.30281388759613037,1.0608183401927818e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.1118700504303
12,0.2965187728404999,0.30273956060409546,1.1253356205997989e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.41734552383423
13,0.2976634204387665,0.30268433690071106,1.1937766430492047e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.18043422698975
14,0.29846253991127014,0.302645742893219,1.2663801499002147e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.32437586784363
15,0.29563435912132263,0.30261966586112976,1.3433993444778025e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.3199417591095
16,0.2973001003265381,0.302601158618927,1.4251027096179314e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.82884907722473
17,0.2944878935813904,0.3025881052017212,1.5117750990611967e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.48140478134155
18,0.2998450696468353,0.3025774359703064,1.6037187378969975e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.75263023376465
19,0.29615822434425354,0.3025684058666229,1.7012542230077088e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.9931960105896
20,0.29546135663986206,0.30256104469299316,1.804721796361264e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",165.81996202468872
21,0.2988918423652649,0.3025553822517395,1.9144819816574454e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",166.13066506385803
22,0.2989344000816345,0.3025495111942291,2.0309176761657e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.89312481880188
23,0.2990870773792267,0.3025436997413635,2.1544346964219585e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.96036028862
24,0.2978161871433258,0.30253836512565613,2.2854637791169807e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.91268658638
25,0.2938171923160553,0.3025321066379547,2.4244620362878777e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.86226868629456
26,0.3007097542285919,0.3025263547897339,2.5719138648128137e-05,16,10,"(320, 320, 1)",16,1200,"(320, 320, 1)",164.7971556186676
